"PK","SK","category","contextualSubtitle","created_at","definitions","difficulty","examples","id","learningPaths","relatedTerms","title","updated_at","visualCue"
"TERM#cf-coverage","META","Cash Flow","""Your CF coverage ratio is {cf_coverage}, measuring debt serviceability.""","1760963591","{""basic"":{""S"":""Cash Flow Coverage Ratio measures how many times a company can pay its total debt with its operating cash flow. It's calculated as Operating Cash Flow ÷ Total Debt.""},""contextual"":{""S"":""For founders with debt, this ratio shows your ability to pay it off from operations. A ratio above 0.2 (20%) is generally considered healthy. Higher is better - it means you could theoretically pay off your debt faster.""},""metaphor"":{""S"":""CF coverage is like asking: if I put all my salary toward my credit card debt, what fraction could I pay off this year? A ratio of 0.5 means you could pay off half your debt with this year's earnings.""}}","4","{""generic"":{""S"":""A company with $500k annual operating cash flow and $2M total debt has a 0.25 CF coverage ratio.""},""startup"":{""S"":""Your CF coverage ratio of {cf_coverage} indicates you could {cf_coverage > 0.2 ? 'comfortably service' : 'face challenges servicing'} your debt from operations.""}}","cf-coverage","[{""S"":""cash-flow""}]","[{""S"":""ocf""},{""S"":""debt-ratio""},{""S"":""debt-to-equity""}]","Cash Flow Coverage Ratio","1760963591","null"
"TERM#dpo","META","Efficiency","You are currently taking an average of {dpo} days to pay your bills.","1753888215","{""basic"":{""S"":""DPO measures the average number of days it takes for a company to pay its own bills and invoices.""},""contextual"":{""S"":""For founders, a higher DPO can be a form of short-term financing, but stretching it too far can damage supplier relationships. It's a balancing act.""},""metaphor"":{""S"":""Think of DPO as how long you can \""float\"" on your suppliers' money before you have to pay up. A longer float gives you more cash flexibility.""}}","2","{""generic"":{""S"":""A company with a DPO of 60 days takes, on average, two months to pay its suppliers.""},""startup"":{""S"":""Your current DPO is {dpo} days. This means you are effectively using your payables to manage cash flow over this period.""}}","dpo","[{""S"":""fundamentals""}]","[{""S"":""dso""},{""S"":""cash-flow""},{""S"":""expenses""}]","Days Payable Outstanding (DPO)","1753888215","null"
"TERM#cash-conversion-cycle","META","Efficiency","Your cash conversion cycle is {cash_conversion_cycle} days.","1760963590","{""basic"":{""S"":""Cash Conversion Cycle (CCC) measures how many days it takes to convert investments in inventory and other resources into cash from sales. It's calculated as Days Inventory Outstanding + Days Sales Outstanding - Days Payable Outstanding.""},""contextual"":{""S"":""For founders, a shorter CCC means faster cash flow turnover and less working capital needed. It shows how efficiently you're converting investments into cash. Negative CCC (like Dell or Amazon) means you collect cash before paying suppliers - the holy grail of cash management.""},""metaphor"":{""S"":""Think of CCC as the journey from buying ingredients at the store, cooking dinner, serving guests, and finally getting paid. The faster you complete this loop, the sooner you can buy more ingredients and keep growing. Some businesses (like Amazon) get paid before they even pay for their ingredients!""}}","4","{""generic"":{""S"":""A company with 30 days inventory, 45 days receivables, and 30 days payables has a 45-day CCC (30+45-30).""},""startup"":{""S"":""Your {cash_conversion_cycle}-day cash conversion cycle shows you're turning investments into cash in {cash_conversion_cycle < 30 ? 'an efficient' : cash_conversion_cycle < 60 ? 'a reasonable' : 'an extended'} timeframe.""}}","cash-conversion-cycle","[{""S"":""efficiency""}]","[{""S"":""dso""},{""S"":""dpo""},{""S"":""working-capital""}]","Cash Conversion Cycle","1760963590","null"
"TERM#ltv","META","Growth","","1750498254","{""basic"":{""S"":""LTV is the total revenue you can expect from a customer over their entire relationship with your company.""},""contextual"":{""S"":""For founders, LTV helps you understand how much you can afford to spend acquiring customers and determines your unit economics.""},""metaphor"":{""S"":""LTV is like evaluating the total value of a friendship - not just what they give you today, but everything over the entire relationship.""}}","4","{""generic"":{""S"":""A customer paying $50/month for 2 years has an LTV of $1,200.""},""startup"":{""S"":""Your SaaS customers have an average LTV of $2,400, so you can afford to spend up to $800 on acquisition.""}}","ltv","[{""S"":""growth""},{""S"":""saas""}]","[{""S"":""cac""},{""S"":""churn""},{""S"":""arpu""}]","LTV (Lifetime Value)","1750498254",""
"TERM#debt-to-equity","META","Solvency","""Your debt to equity ratio is {debt_to_equity}, showing financial leverage.""","1760963594","{""basic"":{""S"":""Debt to Equity Ratio measures the relative proportion of shareholders' equity and debt used to finance a company's assets. It's calculated as Total Liabilities ÷ Total Equity.""},""contextual"":{""S"":""For founders, this ratio shows how much you're relying on debt versus equity to finance operations. Higher ratios mean more leverage and risk, but can amplify returns. Tech startups typically have lower ratios, while capital-intensive businesses may have higher ratios.""},""metaphor"":{""S"":""Think of debt to equity as buying a car - if you put $10k down and borrow $30k, your debt to equity is 3.0. You're leveraging 3x as much borrowed money as your own skin in the game.""}}","3","{""generic"":{""S"":""A company with $1M in liabilities and $2M in equity has a 0.5 debt to equity ratio.""},""startup"":{""S"":""Your debt to equity ratio of {debt_to_equity} indicates you're using {debt_to_equity < 1.0 ? 'more equity than debt' : 'more debt than equity'} to finance operations.""}}","debt-to-equity","[{""S"":""fundamentals""}]","[{""S"":""debt-ratio""},{""S"":""equity-multiplier""},{""S"":""cf-coverage""}]","Debt to Equity","1760963594","null"
"TERM#ocf-ratio","META","Cash Flow","""Your OCF ratio is {ocf_ratio}, measuring ability to cover liabilities.""","1760963589","{""basic"":{""S"":""Operating Cash Flow Ratio measures how many times a company can pay off its current liabilities with the cash generated from operations in a given period.""},""contextual"":{""S"":""For founders, this ratio reveals your ability to meet short-term obligations from operating cash flow alone, without relying on external financing. A ratio above 1.0 indicates strong liquidity from operations.""},""metaphor"":{""S"":""Think of OCF ratio as asking: can I pay this month's bills with this month's paycheck? A ratio of 2.0 means your paycheck is twice your bills - comfortable. Below 1.0 means you can't cover your bills from what you're earning.""}}","3","{""generic"":{""S"":""A company with $100k operating cash flow and $50k current liabilities has an OCF ratio of 2.0.""},""startup"":{""S"":""Your OCF ratio of {ocf_ratio} means your operations generate {ocf_ratio}x the cash needed to cover current liabilities.""}}","ocf-ratio","[{""S"":""cash-flow""}]","[{""S"":""ocf""},{""S"":""current-ratio""},{""S"":""quick-ratio""}]","OCF Ratio","1760963589","DailyCashFlowChart"
"TERM#gross-margin","META","Fundamentals","Your gross margin is currently {gross_margin_pct}.","1753888214","{""basic"":{""S"":""Gross margin represents the portion of revenue left over after subtracting the cost of goods sold (COGS). It is usually expressed as a percentage.""},""contextual"":{""S"":""This is a critical indicator of your pricing power and production efficiency. A healthy gross margin means you have a strong foundation to cover operating expenses and eventually turn a profit.""},""metaphor"":{""S"":""If revenue is all the money coming in the front door, gross margin is what's left after paying for the raw materials and direct labor to make your product.""}}","2","{""generic"":{""S"":""A software company with $100k revenue and $20k server costs has an 80% gross margin.""},""startup"":{""S"":""With {total_revenue} in revenue and a gross profit of {gross_profit}, your current gross margin is {gross_margin_pct}.""}}","gross-margin","[{""S"":""fundamentals""}]","[{""S"":""revenue""},{""S"":""cogs""},{""S"":""profit""}]","Gross Margin","1753888214","RevenueChart"
"TERM#cac","META","Growth","","1750498254","{""basic"":{""S"":""CAC is the total cost to acquire a new paying customer.""},""contextual"":{""S"":""For founders, CAC determines if your business model is sustainable. If CAC is higher than LTV, you're losing money on every customer.""},""metaphor"":{""S"":""CAC is like the cost of fishing - all your marketing, sales, and promotional expenses divided by the number of fish (customers) you catch.""}}","3","{""generic"":{""S"":""If you spend $10,000 on marketing and acquire 50 customers, your CAC is $200.""},""startup"":{""S"":""Your startup reduced CAC from $500 to $200 by optimizing your ad campaigns, improving unit economics.""}}","cac","[{""S"":""growth""},{""S"":""marketing""}]","[{""S"":""ltv""},{""S"":""marketing""},{""S"":""conversion""}]","CAC (Customer Acquisition Cost)","1750498254",""
"TERM#ebitda","META","Fundamentals","""Your EBITDA is {ebitda}, showing operational profitability.""","1760963588","{""basic"":{""S"":""EBITDA stands for Earnings Before Interest, Taxes, Depreciation, and Amortization. It measures a company's operating performance by focusing on earnings from core operations.""},""contextual"":{""S"":""For founders, EBITDA provides a clearer picture of operational profitability by removing the effects of financing decisions, accounting rules, and tax structures. It's particularly useful for comparing companies across different tax jurisdictions or capital structures.""},""metaphor"":{""S"":""Think of EBITDA as your business's raw earning power - like a runner's speed before considering the weight of their backpack (debt), the friction of the track (taxes), or their worn-out shoes (depreciation). It's pure operational strength.""}}","3","{""generic"":{""S"":""A company with $500k operating income, $50k depreciation, and $20k amortization has $570k EBITDA.""},""startup"":{""S"":""Your EBITDA of {ebitda} shows how much cash your core operations generate before accounting for financing and non-cash expenses.""}}","ebitda","[{""S"":""fundamentals""}]","[{""S"":""operating-margin""},{""S"":""profit""},{""S"":""cash-flow""}]","EBITDA","1760963588","RevenueChart"
"TERM#ocf-margin","META","Cash Flow","""Your OCF margin is {ocf_margin}%, showing cash generation efficiency.""","1760963591","{""basic"":{""S"":""Operating Cash Flow Margin is the percentage of revenue that converts into operating cash flow. It's calculated as (Operating Cash Flow ÷ Revenue) × 100.""},""contextual"":{""S"":""For founders, OCF margin reveals how efficiently you convert sales into actual cash. While profit margin uses accounting numbers, OCF margin shows real cash generation. High OCF margin means your business model efficiently generates cash from revenue.""},""metaphor"":{""S"":""Think of OCF margin as what percentage of the money customers give you actually makes it to your bank account. A 25% OCF margin means for every $100 in sales, $25 becomes real spendable cash in your business.""}}","3","{""generic"":{""S"":""A company with $1M revenue and $250k operating cash flow has a 25% OCF margin.""},""startup"":{""S"":""Your {ocf_margin}% OCF margin means you convert {ocf_margin}% of each revenue dollar into operating cash flow.""}}","ocf-margin","[{""S"":""cash-flow""}]","[{""S"":""ocf""},{""S"":""net_profit_margin""},{""S"":""cash-flow""}]","OCF Margin","1760963591","DailyCashFlowChart"
"TERM#dso","META","Efficiency","It currently takes you an average of {dso} days to get paid.","1753888215","{""basic"":{""S"":""DSO measures the average number of days it takes for a company to collect payment after a sale has been made.""},""contextual"":{""S"":""For founders, a high DSO means your cash is tied up in unpaid invoices, impacting your cash flow. A lower DSO is better.""},""metaphor"":{""S"":""Think of DSO as the lag time between doing the work and getting the reward. The shorter the lag, the faster you can use your earnings.""}}","2","{""generic"":{""S"":""A company with a DSO of 45 days takes, on average, a month and a half to collect its receivables.""},""startup"":{""S"":""Your current DSO is {dso} days. Shortening this cycle can significantly improve your cash position without increasing sales.""}}","dso","[{""S"":""fundamentals""}]","[{""S"":""dpo""},{""S"":""cash-flow""},{""S"":""revenue""}]","Days Sales Outstanding (DSO)","1753888215","null"
"TERM#runway","META","Cash Flow","""Your current runway is {runway_months} months, with a cash balance of {cash_balance}.""","1753888214","{""basic"":{""S"":""Runway is the length of time your company can operate before it runs out of money, assuming your current income and expenses remain constant.""},""contextual"":{""S"":""For founders, your runway is your lifeline. It is the exact number of months you have to reach profitability, secure new funding, or make difficult decisions. It's the ultimate clock you're racing against.""},""metaphor"":{""S"":""Like an airplane on a runway, it's the distance you have before you either take off (become profitable) or crash (run out of money).""}}","2","{""generic"":{""S"":""A company with $500k in the bank and a gross burn rate of $50k per month has 10 months of runway.""},""startup"":{""S"":""With your current cash balance of {cash_balance} and a gross burn rate of {burn_rate} per month, your runway is {runway_months} months.""}}","runway","[{""S"":""fundamentals""}]","[{""S"":""burn-rate""},{""S"":""cash-flow""},{""S"":""profit""}]","Cash Runway","1753888214","DailyCashFlowChart"
"TERM#equity-multiplier","META","Solvency","""Your equity multiplier is {equity_multiplier}, showing financial leverage.""","1760963594","{""basic"":{""S"":""Equity Multiplier measures the portion of a company's assets that are financed by equity. It's calculated as Total Assets ÷ Total Equity.""},""contextual"":{""S"":""For founders, the equity multiplier shows your leverage - how much you're using debt versus equity financing. A multiplier of 2.0 means you have $2 in assets for every $1 in equity. Higher multipliers indicate more leverage, which amplifies both gains and losses.""},""metaphor"":{""S"":""Equity multiplier is like a lever - if you invest $100 of your own money (equity) and control $300 in total assets, your multiplier is 3.0. You're using that lever to control 3x what you put in, but the lever swings both ways!""}}","4","{""generic"":{""S"":""A company with $3M assets and $1.5M equity has an equity multiplier of 2.0.""},""startup"":{""S"":""Your equity multiplier of {equity_multiplier} indicates you control ${equity_multiplier} in assets for every dollar of equity.""}}","equity-multiplier","[{""S"":""fundamentals""}]","[{""S"":""debt-to-equity""},{""S"":""return-on-equity""},{""S"":""asset-turnover""}]","Equity Multiplier","1760963594","null"
"TERM#current-ratio","META","Liquidity","""Your current ratio is {current_ratio}, measuring short-term financial health.""","1760963592","{""basic"":{""S"":""Current Ratio measures a company's ability to pay short-term obligations with short-term assets. It's calculated as Current Assets ÷ Current Liabilities.""},""contextual"":{""S"":""For founders, current ratio is a key liquidity indicator. A ratio above 1.0 means you have more current assets than current liabilities. Between 1.5-3.0 is generally considered healthy. Below 1.0 suggests potential liquidity problems.""},""metaphor"":{""S"":""Current ratio is like comparing your checking account balance to your credit card bill that's due next month. A ratio of 2.0 means you have twice the money needed to pay what you owe.""}}","2","{""generic"":{""S"":""A company with $300k in current assets and $200k in current liabilities has a current ratio of 1.5.""},""startup"":{""S"":""Your current ratio of {current_ratio} means you have {current_ratio}x the short-term assets needed to cover short-term obligations.""}}","current-ratio","[{""S"":""fundamentals""}]","[{""S"":""quick-ratio""},{""S"":""working-capital""},{""S"":""cash_balance""}]","Current Ratio","1760963592","null"
"TERM#debt-ratio","META","Solvency","""Your debt ratio is {debt_ratio}%, showing asset financing structure.""","1760963597","{""basic"":{""S"":""Debt Ratio measures what portion of a company's assets are financed by debt. It's calculated as (Total Liabilities ÷ Total Assets) × 100.""},""contextual"":{""S"":""For founders, the debt ratio shows your reliance on borrowed money. A ratio of 40% means 40% of assets are financed by debt, 60% by equity. Lower ratios mean less risk but potentially slower growth. Higher ratios mean more leverage and risk.""},""metaphor"":{""S"":""Debt ratio is like buying a $100k house - if you borrowed $40k (mortgage) and paid $60k cash, your debt ratio is 40%. It shows what slice of everything you own is actually owed to someone else.""}}","2","{""generic"":{""S"":""A company with $1M liabilities and $2M assets has a 50% debt ratio.""},""startup"":{""S"":""Your debt ratio of {debt_ratio}% means {debt_ratio}% of your assets are financed by debt, {100 - debt_ratio}% by equity.""}}","debt-ratio","[{""S"":""fundamentals""}]","[{""S"":""debt-to-equity""},{""S"":""cf-coverage""},{""S"":""equity-multiplier""}]","Debt Ratio","1760963597","null"
"TERM#return-on-equity","META","Profitability","""Your ROE is {roe}%, measuring return on shareholders' investment.""","1760963595","{""basic"":{""S"":""Return on Equity (ROE) measures how efficiently a company generates profit from shareholders' equity. It's calculated as (Net Income ÷ Total Equity) × 100.""},""contextual"":{""S"":""For founders and investors, ROE is a key profitability metric that shows the return generated on invested capital. Higher ROE indicates more efficient use of equity capital. An ROE above 15% is generally considered good, though this varies by industry.""},""metaphor"":{""S"":""ROE is like the interest rate on your investment. If you and your investors put in $100k (equity) and the business generates $20k profit, you earned a 20% return - better than most savings accounts!""}}","3","{""generic"":{""S"":""A company with $200k net income and $1M equity has a 20% ROE.""},""startup"":{""S"":""Your ROE of {roe}% means you generated {roe}% return on every dollar of shareholder equity this period.""}}","return-on-equity","[{""S"":""fundamentals""}]","[{""S"":""net-income""},{""S"":""equity-multiplier""},{""S"":""asset-turnover""}]","Return on Equity (ROE)","1760963595","RevenueChart"
"TERM#quick-ratio","META","Liquidity","""Your quick ratio is {quick_ratio}, the acid test of liquidity.""","1760963592","{""basic"":{""S"":""Quick Ratio, also called the Acid Test, measures the ability to pay short-term obligations with the most liquid assets (excluding inventory). It's calculated as (Current Assets - Inventory) ÷ Current Liabilities.""},""contextual"":{""S"":""For founders, quick ratio is a more conservative liquidity test than current ratio because it excludes inventory, which can be hard to convert to cash quickly. A ratio above 1.0 is ideal, meaning you can cover all short-term debts with highly liquid assets.""},""metaphor"":{""S"":""Quick ratio asks: can you pay your bills right now with just your wallet and bank account, without having to run a garage sale first? It's the real test of immediate liquidity.""}}","3","{""generic"":{""S"":""A company with $250k current assets, $50k inventory, and $200k current liabilities has a quick ratio of 1.0.""},""startup"":{""S"":""Your quick ratio of {quick_ratio} shows {quick_ratio >= 1.0 ? 'strong' : 'tight'} immediate liquidity without relying on selling inventory.""}}","quick-ratio","[{""S"":""fundamentals""}]","[{""S"":""current-ratio""},{""S"":""cash_balance""},{""S"":""working-capital""}]","Quick Ratio","1760963592","null"
